music_id,music_name,music_url,music_author,music_album,music_list_id
26075548,初爱,http://m10.music.126.net/20190509103622/61fcb8de23663cb94d09d155d41efebf/ymusic/c570/c714/862e/4e754a614cc42148c2e41f0a13c005fb.mp3,杨宗纬,初·爱,957
519136840,只只,http://m10.music.126.net/20190509103628/3cb17cc56ec64c939d049d432e23b1a7/ymusic/b9c3/f89e/88b2/2ab964bc155fa5e3ae81a3474e1791ce.mp3,孟凡明,只只,957
1336856864,形容,http://m10.music.126.net/20190509103635/2d6678b3b181e8c231dc6f516473ae1a/ymusic/5653/005d/0008/a9f1438cb0775fd8c50f7b32589d0045.mp3,沈以诚,初遇,957
514761281,白羊,http://m10.music.126.net/20190509103641/e19152456b98b7e7388c1b9a8feff61e/ymusic/25a2/4ff4/52fc/d664724d25de35a8d4e23c1b986c60b5.mp3,徐秉龙,沈以诚,957
1314154490,太久,http://m10.music.126.net/20190509103647/062765d25a3d01519bd9a46ab883f0a6/ymusic/4504/6b37/a0bf/58d7102aaf2ed782f9a43df7b33eca0e.mp3,刘思鉴,Todd Li,957
455627696,特别的你,http://m10.music.126.net/20190509103654/47d90c520bf27f5bc5da647760599059/ymusic/8463/2b80/d2c8/8db8f3113ac73e532616b8bc042d2f9e.mp3,李迦南Doc,你说,957
1359289775,春天的歌,http://m10.music.126.net/20190509103700/42267c3ff681c0d3b2854030393a7c89/ymusic/0f0e/0408/0309/8d9086bd883b9753e15e4c7d309b14e3.mp3,朱星杰,值得一提的事,957
530986052,返老还童,http://m10.music.126.net/20190509103706/d6c109717afd5818458d07536ad2888a/ymusic/b884/31a2/9805/682a189b9071ba49a6f33397a8d92163.mp3,胡彦斌,Jony J,957
1313321629,珍珠,http://m10.music.126.net/20190509103712/0efa09d00960cad2e822a28dc8edb1b3/ymusic/c933/52a4/ea8d/64bb0a0f516a86981778ed52bde4aef7.mp3,RA,BK.,957
108485,Always Online,http://m10.music.126.net/20190509103719/08ff7b2301fecea915fbbddf414543aa/ymusic/b250/623f/65c6/d40e637edffd95499d424eb3f9ae70f8.mp3,林俊杰,JJ陆,957
420401511,和你,http://m10.music.126.net/20190509103725/1e9b07f6be5a55ee60db2ab321b6769d/ymusic/e321/f127/b22b/ff73e54c10fc80ebfe18ff90954ddf1d.mp3,余佳运,幸福三部曲,957
